	206615	206646	206648	206647	206659	206660	206667	206671	206672	206673	206700	206757	206758	206702	206701	206708	206709	206746	206747	206720	206721	206724	206728	206727	206734	206733	206750	206751	206756	206755	206767	206766	206768	224327	224328	206536	206538	206534	215050	215023	206548	206547	206562	206561	206564	206563	206570	206569	215067	206604	206605	206608	206609	215085	215084	214995	214994	215075	215076	219633	219634	219638	219653	219654	219693	219668	219675	219676	219691	206657	206658	206704	206703	206753	206752	206711	206710	206719	206718	206726	206725	206730	206729	206739	206738	206741	206740	206742	206743	224324	224323	215003	215008	215007	215010	215009	215048	215056	215055	215058	215057	215074	215077	222170	222171	224844	224845	219652	219651	219656	219655	219657	206622	206630	206629	206635	206644	206643	206670	206676	206675	206677	206678	206684	206683	206713	206712	206732	206731	206754	206762	206761	206770	224330	224325	224326	206571	206603	206572	215061	215062	215080	219643	219644	219646	219645	219670	219669	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq20	87	409	93	28	7	16	178	0	0	47	0	0	0	0	0	11	44	27	24	197	128	0	318	211	0	0	30	45	144	129	14	18	0	103	58	55	45	42	28	15	0	0	74	65	22	22	0	0	0	54	20	300	275	101	379	0	0	48	32	134	132	9	134	47	0	0	2	0	310	100	80	282	368	210	498	38	78	6	7	165	126	0	0	49	50	75	53	117	385	0	0	49	304	179	57	61	123	55	102	101	131	0	0	0	0	4	2	37	82	145	122	0	0	0	0	0	473	480	0	0	0	10	0	738	907	151	132	0	0	0	0	0	0	0	0	0	0	0	0	27	38	107	101	48	702	643	18	19	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	caccae
seq21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3395	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1311	0	0	0	0	0	0	0	0	0	68	89	0	0	0	0	0	0	4048	0	2691	553	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1116	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	110	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
seq22	46	649	22	34	46	10	48	81	109	48	18	0	0	0	0	137	56	37	33	70	61	89	7	14	9	5	161	268	208	317	13	29	0	10	19	85	18	64	25	0	19	22	347	151	25	103	33	39	137	53	9	45	47	0	150	113	88	9	0	45	21	119	80	99	29	0	0	0	33	60	71	386	203	139	118	10	16	14	2	244	435	0	0	30	27	294	154	188	96	3	9	51	66	128	104	165	94	78	179	37	27	19	31	41	18	0	34	49	96	54	29	272	0	0	0	140	0	0	98	62	30	0	32	29	9	91	100	128	113	12	42	20	162	66	18	36	79	68	39	114	112	474	77	16	234	140	144	212	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
seq23	0	0	0	0	8	119	0	0	0	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	128	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355	1843	0	0	0	31	39	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1763	1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	541	0	0	0	29	67	0	0	0	939	252	0	0	119	183	0	0	0	0	17	3	31	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	134	11	0	0	0	0	0	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	muciniphila
seq24	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	41	86	20	18	62	63	0	0	0	0	1	47	37	180	136	15	15	0	65	56	270	281	293	51	14	0	0	195	389	22	100	0	0	0	22	36	492	384	329	440	0	0	105	123	0	0	3	49	48	16	0	0	0	0	0	0	369	952	362	462	0	0	0	0	0	0	0	0	444	690	77	96	245	584	5	5	55	0	0	0	0	238	0	0	40	88	0	0	147	106	39	28	5	8	0	0	0	0	3	0	0	0	0	0	22	12	17	111	0	0	832	418	106	47	9	90	138	139	79	78	31	0	0	0	62	49	47	5	2	0	0	365	123	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	merdae
seq25	0	3	0	2	0	0	20	85	69	0	329	0	0	0	0	0	16	325	235	2	0	18	2	0	0	0	0	9	20	25	97	47	2138	35	125	137	124	233	5	0	711	476	0	0	0	99	8	16	16	0	106	41	26	0	21	9	11	457	484	6	21	0	245	28	20	282	11	7	0	0	5	502	282	0	17	0	14	0	3	1	1	0	3	9	20	4	0	12	1	10	6	530	43	56	0	73	92	0	5	0	4	45	57	0	0	24	14	1	0	68	31	44	0	64	153	9	111	224	3	0	0	1022	193	12	32	0	0	32	0	108	654	438	14	0	4	1	221	354	216	0	0	56	0	0	0	0	3	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	
seq26	0	0	123	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	472	938	0	0	1	0	0	0	0	0	0	313	326	0	0	0	0	0	0	0	239	275	202	300	0	0	0	25	92	0	0	0	0	0	0	82	8	78	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	255	0	0	969	597	0	0	0	159	243	0	0	0	0	0	0	0	42	107	401	424	107	53	362	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	119	222	0	0	0	0	343	394	0	0	0	0	0	5	28	0	0	0	38	3	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella	wadsworthensis
seq27	0	0	71	56	224	297	119	0	0	206	0	0	0	0	0	28	173	0	0	383	457	0	0	0	242	132	0	0	745	464	0	8	0	0	0	22	30	26	0	0	0	0	0	0	0	0	118	49	263	19	0	0	0	0	0	294	274	0	0	0	0	0	183	132	0	0	0	0	0	76	73	195	88	2	4	0	0	75	35	0	0	0	0	132	189	3	4	104	66	0	0	0	238	193	3	4	0	0	32	0	5	0	0	0	0	0	0	27	21	0	0	0	0	0	0	153	0	0	318	143	72	0	0	508	185	16	16	22	13	0	4	10	166	0	34	11	0	0	0	44	40	42	7	0	148	223	4	5	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parasutterella	excrementihominis
seq28	0	267	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	373	475	0	5	4	0	0	0	119	91	0	0	0	0	0	0	33	14	29	109	0	0	0	181	0	0	46	196	235	147	0	0	87	159	0	230	0	0	7	0	171	59	0	185	252	0	0	0	0	9	104	0	0	0	294	299	5	0	0	0	0	0	0	0	0	0	168	121	311	290	2	0	0	0	0	37	56	0	41	18	0	62	23	55	0	363	40	57	0	0	0	0	0	0	0	0	0	0	0	560	0	76	0	0	0	0	0	0	46	30	0	1	3	0	36	380	204	0	0	0	0	0	0	10	0	0	0	114	94	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	putredinis
seq29	19	69	7	20	26	9	0	0	0	40	0	16	0	0	0	6	1	29	60	30	22	0	8	0	15	6	20	17	47	75	10	11	0	64	91	18	20	35	144	1	109	257	229	244	54	70	67	47	142	93	50	24	33	122	221	69	76	61	24	49	73	87	0	0	0	0	0	0	75	103	91	61	39	46	39	104	70	257	183	68	55	0	0	89	94	164	131	50	22	28	35	27	46	14	15	12	0	240	150	100	189	22	9	40	31	41	175	127	75	34	52	0	0	0	11	112	0	0	454	20	17	0	16	151	25	31	34	74	79	0	0	16	51	66	1	20	14	52	18	23	13	78	52	40	45	25	283	162	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	saccharivorans
