	206615	206646	206648	206647	206659	206660	206667	206671	206672	206673	206700	206757	206758	206708	206709	206746	206747	206720	206721	206724	206728	206727	206734	206733	206750	206751	206756	206755	206767	206766	224327	224328	206536	206538	206534	215050	215023	206547	206562	206561	206563	206570	206569	215067	206604	206605	206608	206609	215084	214995	214994	215075	215076	219633	219634	219638	219653	219654	219693	219675	219676	219691	206657	206658	206704	206703	206753	206752	206711	206710	206719	206718	206726	206725	206729	206739	206738	206741	206740	206742	206743	224324	224323	215008	215007	215010	215009	215048	215056	215055	215058	215057	215074	215077	222170	222171	224844	224845	219652	219651	219656	219655	219657	206622	206630	206635	206644	206643	206670	206676	206677	206678	206684	206683	206713	206712	206732	206731	206754	206762	206761	206770	224330	224325	224326	206571	206603	206572	215061	215062	215080	219643	219644	219646	219645	219670	219669	Kingdom	Phylum	Class	Order	Family	Genus	Species
Otu0020	1273	63	36	292	867	36	0	0	3	0	479	390	822	213	150	179	368	131	80	0	48	45	23	39	186	337	82	187	57	45	1	5	259	428	263	0	0	0	3	1	0	11	12	38	68	66	154	111	324	52	72	0	0	1299	2657	0	5	18	0	0	10	0	91	96	694	278	85	53	70	34	155	205	7	11	0	35	117	59	61	4	11	2	1	27	18	92	40	0	26	35	88	91	1	0	0	32	17	7	2	2	0	2	0	0	10	46	929	581	181	123	5	63	7	84	32	345	1	0	94	23	19	231	5	81	110	39	79	244	24	34	32	19	123	0	0	51	41	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_ge	Lachnospiraceae_ge
Otu0021	0	6	238	414	277	103	59	0	0	304	0	633	824	1	10	105	68	2	3	0	206	98	2	3	0	0	0	0	9	7	0	0	0	0	0	0	0	0	401	118	215	53	48	8	293	192	782	637	643	1257	1429	0	0	35	21	384	0	0	0	0	1	0	166	177	79	65	65	41	0	0	94	154	25	23	0	81	114	52	86	4	7	6	9	112	139	329	264	10	0	0	131	135	30	22	54	143	226	178	4	22	49	65	0	0	20	13	0	0	0	329	0	17	4	16	196	200	22	31	42	50	27	2164	525	51	40	2	15	2	134	119	97	66	1095	39	147	74	245	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia
Otu0022	0	13	0	0	6	6	21	6	4	0	0	0	0	0	1	2	1	4	0	0	1	2	7	3	24	24	44	40	0	0	4	4	2	0	0	4	5	0	0	0	0	0	0	1	0	1	2	3	0	230	218	0	1	0	0	0	15	8	0	0	4	0	0	0	5	8	0	3	1	0	92	66	0	4	0	4	0	101	65	26	27	0	0	14	1	4	12	0	0	0	0	0	0	0	9	2	0	0	0	1	0	1	0	1	0	0	0	4	115	1	0	1	12	5	49	34	1	1	1	19	1	29	0	0	9	0	0	0	2	0	38	2	23	17	6	0	6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides
Otu0023	3	77	185	251	183	118	0	0	0	1	0	41	33	57	155	41	27	4	0	7	62	56	305	248	0	0	319	271	1	4	70	50	285	253	286	49	20	0	182	244	60	114	196	198	62	47	0	0	0	94	132	45	26	23	37	12	35	71	0	89	92	37	51	58	55	127	24	71	29	54	0	0	58	34	0	24	32	90	83	52	68	1	1	0	0	105	102	18	585	1049	14	49	0	0	114	77	9	2	19	27	180	72	0	272	0	0	351	272	0	143	0	22	63	50	2	1	2	3	23	97	74	29	0	88	79	0	0	0	85	71	95	27	6	152	147	102	36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides
Otu0024	28	73	7	19	55	11	0	0	0	38	0	20	28	7	4	22	37	28	26	0	3	0	8	7	18	21	47	62	9	10	59	98	19	19	36	184	2	380	280	269	105	75	65	145	111	51	38	44	256	76	70	58	29	58	74	89	0	0	5	0	0	95	100	104	51	28	31	32	110	65	227	181	61	54	0	77	99	190	145	69	28	37	55	60	23	18	15	55	270	165	113	243	25	10	40	27	56	206	138	64	39	52	0	0	0	112	0	0	493	28	0	22	137	34	36	40	100	44	0	2	13	37	77	3	15	14	55	18	21	28	82	66	35	40	18	318	156	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter
Otu0025	0	56	0	0	13	13	0	1	11	6	0	404	256	11	3	12	8	17	0	0	6	6	1	0	0	0	1	4	22	15	196	164	58	7	130	925	14	0	1	2	1	6	1	0	9	0	0	0	0	2	16	13	17	3	5	23	12	7	0	11	57	2	0	0	41	14	24	21	50	60	22	11	6	5	0	80	49	4	12	38	20	17	13	0	0	7	6	23	42	80	1	3	43	28	11	8	64	19	1304	549	32	9	24	0	118	444	0	9	15	0	0	0	29	19	21	24	283	287	174	35	32	32	15	3	1	0	0	0	0	0	594	335	2	64	31	34	14	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium
Otu0026	0	3	12	5	32	36	0	0	0	0	0	0	0	0	1	0	0	9	10	1	3	12	2	0	16	11	10	7	2	0	13	7	0	0	0	0	0	0	2	0	1	3	3	63	0	0	3	0	0	1	1	0	1	0	0	0	3	2	0	0	0	3	1	0	9	4	3	5	19	2	0	0	0	0	0	0	0	2	1	7	3	0	0	0	0	0	2	0	2	0	1	2	2	1	1	4	0	0	1	5	0	2	0	236	0	0	0	0	0	0	0	0	29	20	3	0	0	0	0	1	0	0	0	263	104	0	0	0	0	0	25	0	1	29	55	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides
Otu0027	0	0	19	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	5	0	0	626	536	0	1	517	425	1	1	0	0	589	414	480	437	132	0	0	1	0	5	8	74	0	0	164	200	376	0	0	139	132	0	0	36	129	62	29	0	0	0	0	0	57	65	218	188	7	13	741	700	79	65	0	321	370	270	247	2152	2101	19	18	0	2	0	1	152	0	0	97	72	0	0	0	0	39	71	119	121	2	0	0	0	62	189	1	0	1	80	32	135	0	0	107	83	245	236	114	0	0	0	59	464	411	0	0	0	41	32	75	161	0	0	0	148	143	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides
Otu0028	363	0	46	88	33	18	30	16	88	0	0	0	0	290	96	238	145	116	87	0	20	22	1	1	59	71	105	43	204	202	0	0	83	56	52	12	0	89	41	6	12	44	49	55	24	36	56	28	49	280	139	15	7	0	1	105	78	165	157	0	0	81	7	16	125	147	228	53	140	95	105	102	225	359	0	322	74	69	72	1	18	27	30	31	81	12	12	11	109	45	82	92	30	26	62	89	221	299	15	33	2	23	0	0	63	33	0	0	0	0	20	32	51	48	270	254	92	90	307	195	167	62	120	38	25	0	0	0	418	578	51	34	222	232	81	75	105	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_ge	Lachnospiraceae_ge
Otu0029	0	13	271	151	232	274	1509	0	0	0	0	0	0	2	2	0	0	116	122	0	3	1	94	87	51	56	11	20	0	2	30	8	0	0	0	3	0	1	31	55	259	7	7	22	3	2	0	0	0	1	0	114	116	50	79	22	0	0	0	0	0	822	6	13	33	33	10	15	0	0	5	11	5	4	0	7	2	21	26	1	0	1	4	136	210	85	64	2	1	0	188	155	106	79	159	201	16	42	569	576	698	1018	0	0	0	0	0	20	0	96	0	0	179	87	0	1	19	22	9	1	0	2	28	28	40	0	240	72	29	55	4	510	0	278	465	48	68	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium
