Sample	Reverse Only Surviving	Surviving Reads	Forward Only Surviving	Dropped
HMP.2.206729_R1	0.0	39135.0	5.0	0.0
HMP.2.206730_R1	2.0	19790.0	4.0	0.0
HMP.2.206731_R1	0.0	57662.0	5.0	0.0
HMP.2.206732_R1	2.0	55039.0	9.0	0.0
HMP.2.206733_R1	1.0	65801.0	11.0	0.0
HMP.2.206734_R1	0.0	71691.0	6.0	0.0
HMP.2.206738_R1	0.0	40817.0	7.0	0.0
HMP.2.206739_R1	0.0	62679.0	8.0	0.0
HMP.2.206740_R1	1.0	38358.0	3.0	0.0
HMP.2.206741_R1	0.0	54420.0	7.0	0.0
HMP.2.206742_R1	1.0	64146.0	4.0	0.0
HMP.2.206743_R1	0.0	54240.0	0.0	0.0
HMP.2.206746_R1	0.0	56775.0	6.0	0.0
HMP.2.206747_R1	0.0	42828.0	2.0	0.0
HMP.2.206750_R1	0.0	70352.0	17.0	0.0
HMP.2.206751_R1	1.0	64615.0	2.0	0.0
HMP.2.206752_R1	0.0	64924.0	15.0	0.0
HMP.2.206753_R1	1.0	65058.0	11.0	0.0
HMP.2.206754_R1	0.0	57538.0	8.0	0.0
HMP.2.206755_R1	0.0	69004.0	8.0	0.0
HMP.2.206756_R1	0.0	59252.0	7.0	0.0
HMP.2.206757_R1	1.0	66923.0	7.0	0.0
HMP.2.206758_R1	0.0	70971.0	6.0	0.0
HMP.2.206761_R1	2.0	58291.0	4.0	0.0
HMP.2.206762_R1	0.0	40194.0	9.0	0.0
HMP.2.206766_R1	0.0	60868.0	8.0	0.0
HMP.2.206767_R1	0.0	31339.0	10.0	0.0
HMP.2.206768_R1	0.0	12571.0	2.0	0.0
HMP.2.206769_R1	0.0	8596.0	1.0	0.0
HMP.2.206770_R1	0.0	62952.0	6.0	0.0
HMP.2.214994_R1	1.0	35339.0	3.0	0.0
HMP.2.214995_R1	0.0	43253.0	6.0	0.0
HMP.2.215003_R1	0.0	14147.0	3.0	0.0
HMP.2.215004_R1	0.0	7996.0	3.0	0.0
HMP.2.215007_R1	1.0	41251.0	23.0	0.0
HMP.2.215008_R1	0.0	21618.0	2.0	0.0
HMP.2.215009_R1	1.0	51126.0	7.0	0.0
HMP.2.215010_R1	0.0	42822.0	11.0	0.0
HMP.2.215023_R1	4.0	60673.0	19.0	6.0
HMP.2.215048_R1	0.0	24605.0	3.0	0.0
HMP.2.215049_R1	0.0	2522.0	3.0	0.0
HMP.2.215050_R1	1.0	54487.0	12.0	0.0
HMP.2.215055_R1	0.0	43795.0	12.0	0.0
HMP.2.215056_R1	0.0	36945.0	10.0	0.0
HMP.2.215057_R1	0.0	58950.0	3.0	0.0
HMP.2.215058_R1	1.0	34377.0	1.0	0.0
HMP.2.215061_R1	0.0	32152.0	4.0	0.0
HMP.2.215062_R1	0.0	28801.0	7.0	0.0
HMP.2.215067_R1	1.0	51037.0	8.0	0.0
HMP.2.215074_R1	0.0	17838.0	5.0	0.0
HMP.2.215075_R1	0.0	47142.0	3.0	0.0
HMP.2.215076_R1	0.0	41344.0	2.0	0.0
HMP.2.215077_R1	1.0	47396.0	1.0	0.0
HMP.2.215080_R1	0.0	53064.0	8.0	0.0
HMP.2.215084_R1	0.0	15336.0	5.0	0.0
HMP.2.215085_R1	0.0	17768.0	4.0	0.0
HMP.2.219633_R1	0.0	33940.0	2.0	0.0
HMP.2.219634_R1	0.0	31324.0	8.0	0.0
HMP.2.219637_R1	0.0	350.0	2.0	0.0
HMP.2.219638_R1	0.0	32347.0	10.0	0.0
HMP.2.219643_R1	1.0	41132.0	11.0	0.0
HMP.2.219644_R1	1.0	50831.0	8.0	0.0
HMP.2.219645_R1	0.0	52038.0	5.0	0.0
HMP.2.219646_R1	0.0	45287.0	4.0	0.0
HMP.2.219651_R1	1.0	57303.0	7.0	0.0
HMP.2.219652_R1	0.0	50274.0	7.0	0.0
HMP.2.219653_R1	0.0	43198.0	6.0	0.0
HMP.2.219654_R1	0.0	35380.0	7.0	0.0
HMP.2.219655_R1	1.0	46460.0	8.0	0.0
HMP.2.219656_R1	2.0	25760.0	5.0	0.0
HMP.2.219657_R1	0.0	39519.0	1.0	0.0
HMP.2.219658_R1	0.0	2166.0	1.0	0.0
HMP.2.219659_R1	0.0	4677.0	6.0	0.0
HMP.2.219668_R1	0.0	11943.0	1.0	0.0
HMP.2.219669_R1	1.0	55482.0	5.0	0.0
HMP.2.219670_R1	1.0	37367.0	12.0	0.0
HMP.2.219675_R1	2.0	38057.0	1.0	0.0
HMP.2.219676_R1	0.0	47789.0	6.0	0.0
HMP.2.219691_R1	0.0	36017.0	1.0	0.0
HMP.2.219692_R1	0.0	563.0	8.0	0.0
HMP.2.219693_R1	0.0	19452.0	1.0	0.0
HMP.2.222170_R1	0.0	15697.0	25.0	0.0
HMP.2.222171_R1	0.0	27533.0	3.0	0.0
HMP.2.224323_R1	0.0	45298.0	11.0	0.0
HMP.2.224324_R1	0.0	56222.0	2.0	0.0
HMP.2.224325_R1	0.0	60462.0	6.0	0.0
HMP.2.224326_R1	1.0	73955.0	11.0	0.0
HMP.2.224327_R1	0.0	59081.0	17.0	0.0
HMP.2.224328_R1	1.0	60556.0	12.0	0.0
HMP.2.224330_R1	0.0	50701.0	21.0	0.0
HMP.2.224844_R1	0.0	27444.0	4.0	0.0
HMP.2.224845_R1	0.0	50055.0	10.0	1.0
